id;ano;mes;semana_operativa;data_inicio;data_fim;ena_bruta_mw_se;ena_bruta_mw_s;ena_bruta_mw_ne;ena_bruta_mw_n;ena_bruta_mlt_se;ena_bruta_mlt_s;ena_bruta_mlt_ne;ena_bruta_mlt_n;ena_arm_mw_se;ena_arm_mw_s;ena_arm_mw_ne;ena_arm_mw_n;ena_arm_mlt_se;ena_arm_mlt_s;ena_arm_mlt_ne;ena_arm_mlt_n;vol_ena_arm_mlt_se;vol_ena_arm_mlt_s;vol_ena_arm_mlt_ne;vol_ena_arm_mlt_n;dias_contabilizados
1266;2001;6;1;2001-06-30;2001-07-06;16977.4285714286;8450;2165.71428571429;2222.85714285714;91.4142859328572;123.452857968571;55.7785720828571;89.2485716685714;16965.7142857143;8180.71428571429;2165.71428571429;2200.42857142857;91.3471429014286;119.511427742857;55.7785720828571;88.3485723214286;5.89420159377472;12.0907890848401;3.47615378673482;14.0276150541244;7
1265;2001;7;2;2001-07-07;2001-07-13;14434.4285714286;6767.71428571429;1952.28571428571;2006.85714285714;79.7371422914286;98.2742854528571;51.6314294;86.0985717785714;14424.2857142857;6746.85714285714;1952.28571428571;1991.71428571429;79.6799992142857;97.9728567957143;51.6314294;85.4485724314286;2.76819440598151;5.7744546386977;1.29723350915986;1.3225271203002;7
1264;2001;7;3;2001-07-14;2001-07-20;13692.8571428571;6964.28571428571;2020.85714285714;1866.14285714286;75.6385716028571;101.130000521429;53.4457141328571;80.0599997371429;13678;6497;2020.85714285714;1852.42857142857;75.5585719514286;94.3442862357143;53.4457141328571;79.4714268285714;1.07830961831942;17.5846407118179;3.12324102770409;1.70330445588117;7
1263;2001;7;4;2001-07-21;2001-07-27;13788;9514.42857142857;1942.42857142857;1732.14285714286;76.1642859328571;138.159999302857;51.3714283528572;74.3128574928571;13776.7142857143;7548.28571428571;1942.42857142857;1719.85714285714;76.10142953;109.607142857143;51.3714283528572;73.78428541;1.22311722817462;26.384704585889;2.3757834947888;1.35824283980473;7
1262;2001;7;5;2001-07-28;2001-08-03;15784.1428571429;10977.2857142857;1842.28571428571;1629.28571428571;94.95714242;167.975714547143;51.7542855385714;82.5000010914286;15773.7142857143;8037;1842.28571428571;1619.57142857143;94.8957148971429;124.022857667143;51.7542855385714;82.0000000014286;12.3119281550081;10.3286333329003;3.62621865014864;14.772809592365;7
1261;2001;8;6;2001-08-04;2001-08-10;13463.8571428571;8280.14285714286;1837.14285714286;1536.57142857143;89.6157150285714;137.752856662857;55.6657137171429;94.00142997;13450.5714285714;7127;1837.14285714286;1530.14285714286;89.52571433;118.567143031429;55.6657137171429;93.6071428557143;4.96505436668586;10.9325582036679;0.0901589317652472;2.07224185608707;7
1260;2001;8;7;2001-08-11;2001-08-17;11708.5714285714;5091;1845.71428571429;1369.57142857143;77.9285714271429;84.6942863471429;55.9314291814286;83.7842865014286;11697.7142857143;4990.14285714286;1845.71428571429;1367.71428571429;77.8585717342857;83.0185715814286;55.9314291814286;83.67000035;2.75715042685429;15.9105264982054;0.0511309369839462;2.58980106338378;7
1259;2001;8;8;2001-08-18;2001-08-24;11021.4285714286;3160.42857142857;1842.14285714286;1263;73.3557150728571;52.57857132;55.8214285742857;77.26285771;11007.2857142857;3099.85714285714;1842.14285714286;1262.71428571429;73.2642865857143;51.5728569042857;55.8214285742857;77.24571446;0.381263862154658;1.86086655543819;0.0909997551571591;1.88378946339781;7
1258;2001;8;9;2001-08-25;2001-08-31;12562.5714285714;4626.57142857143;1835.85714285714;1141.42857142857;83.6157139371429;76.97000013;55.6271427685714;69.8271429871428;12541;4621.28571428571;1835.42857142857;1141.42857142857;83.4714279185714;76.8814288542857;55.6128572728571;69.8271429871428;8.41778140822518;28.2456677148846;0.0689720831788721;2.33839568225667;7
1257;2001;9;10;2001-09-01;2001-09-07;14555.1428571429;5430;1860.28571428571;1031.28571428571;96.7942853642857;77.0142854971429;62.8999998914286;79.9014293128571;14536.7142857143;5430;1859.42857142857;1031.28571428571;96.6714292257143;77.0142854971429;62.8714283542857;79.9014293128571;10.0403169538154;10.7129868463253;0.320334720261412;2.29418298796782;7
