DATE;CODE;RAW DATE;DAY;MONTH;YEAR;VALUE (-)
1997-02-01;FUNCEX12_MPEPET2N12;1997-02-01T00:00:00-02:00;1;2;1997;29,58
1997-03-01;FUNCEX12_MPEPET2N12;1997-03-01T00:00:00-03:00;1;3;1997;28,18
1997-04-01;FUNCEX12_MPEPET2N12;1997-04-01T00:00:00-03:00;1;4;1997;24,38
1997-05-01;FUNCEX12_MPEPET2N12;1997-05-01T00:00:00-03:00;1;5;1997;21,89
1997-06-01;FUNCEX12_MPEPET2N12;1997-06-01T00:00:00-03:00;1;6;1997;22,48
1997-07-01;FUNCEX12_MPEPET2N12;1997-07-01T00:00:00-03:00;1;7;1997;21,55
1997-08-01;FUNCEX12_MPEPET2N12;1997-08-01T00:00:00-03:00;1;8;1997;21,92
1997-09-01;FUNCEX12_MPEPET2N12;1997-09-01T00:00:00-03:00;1;9;1997;21,64
1997-10-01;FUNCEX12_MPEPET2N12;1997-10-01T00:00:00-03:00;1;10;1997;22,08
1997-11-01;FUNCEX12_MPEPET2N12;1997-11-01T00:00:00-03:00;1;11;1997;22,76
1997-12-01;FUNCEX12_MPEPET2N12;1997-12-01T00:00:00-02:00;1;12;1997;22,6
1998-01-01;FUNCEX12_MPEPET2N12;1998-01-01T00:00:00-02:00;1;1;1998;20,66
1998-02-01;FUNCEX12_MPEPET2N12;1998-02-01T00:00:00-02:00;1;2;1998;18,33
1998-03-01;FUNCEX12_MPEPET2N12;1998-03-01T00:00:00-03:00;1;3;1998;16,45
1998-04-01;FUNCEX12_MPEPET2N12;1998-04-01T00:00:00-03:00;1;4;1998;14,88
1998-05-01;FUNCEX12_MPEPET2N12;1998-05-01T00:00:00-03:00;1;5;1998;15,65
1998-06-01;FUNCEX12_MPEPET2N12;1998-06-01T00:00:00-03:00;1;6;1998;15,66
1998-07-01;FUNCEX12_MPEPET2N12;1998-07-01T00:00:00-03:00;1;7;1998;13,91
1998-08-01;FUNCEX12_MPEPET2N12;1998-08-01T00:00:00-03:00;1;8;1998;15,29
1998-09-01;FUNCEX12_MPEPET2N12;1998-09-01T00:00:00-03:00;1;9;1998;14,5
1998-10-01;FUNCEX12_MPEPET2N12;1998-10-01T00:00:00-03:00;1;10;1998;16,71
1998-11-01;FUNCEX12_MPEPET2N12;1998-11-01T00:00:00-03:00;1;11;1998;15,44
1998-12-01;FUNCEX12_MPEPET2N12;1998-12-01T00:00:00-02:00;1;12;1998;14,24
1999-01-01;FUNCEX12_MPEPET2N12;1999-01-01T00:00:00-02:00;1;1;1999;11,2
1999-02-01;FUNCEX12_MPEPET2N12;1999-02-01T00:00:00-02:00;1;2;1999;13,06
1999-03-01;FUNCEX12_MPEPET2N12;1999-03-01T00:00:00-03:00;1;3;1999;13,89
1999-04-01;FUNCEX12_MPEPET2N12;1999-04-01T00:00:00-03:00;1;4;1999;15,27
1999-05-01;FUNCEX12_MPEPET2N12;1999-05-01T00:00:00-03:00;1;5;1999;20,21
1999-06-01;FUNCEX12_MPEPET2N12;1999-06-01T00:00:00-03:00;1;6;1999;19,42
1999-07-01;FUNCEX12_MPEPET2N12;1999-07-01T00:00:00-03:00;1;7;1999;22,23
1999-08-01;FUNCEX12_MPEPET2N12;1999-08-01T00:00:00-03:00;1;8;1999;25,58
1999-09-01;FUNCEX12_MPEPET2N12;1999-09-01T00:00:00-03:00;1;9;1999;26,48
1999-10-01;FUNCEX12_MPEPET2N12;1999-10-01T00:00:00-03:00;1;10;1999;28,65
1999-11-01;FUNCEX12_MPEPET2N12;1999-11-01T00:00:00-03:00;1;11;1999;27,87
1999-12-01;FUNCEX12_MPEPET2N12;1999-12-01T00:00:00-02:00;1;12;1999;31,9
2000-01-01;FUNCEX12_MPEPET2N12;2000-01-01T00:00:00-02:00;1;1;2000;33,73
2000-02-01;FUNCEX12_MPEPET2N12;2000-02-01T00:00:00-02:00;1;2;2000;35,18
2000-03-01;FUNCEX12_MPEPET2N12;2000-03-01T00:00:00-03:00;1;3;2000;37,86
2000-04-01;FUNCEX12_MPEPET2N12;2000-04-01T00:00:00-03:00;1;4;2000;37,77
2000-05-01;FUNCEX12_MPEPET2N12;2000-05-01T00:00:00-03:00;1;5;2000;32,27
2000-06-01;FUNCEX12_MPEPET2N12;2000-06-01T00:00:00-03:00;1;6;2000;36,97
2000-07-01;FUNCEX12_MPEPET2N12;2000-07-01T00:00:00-03:00;1;7;2000;39,13
2000-08-01;FUNCEX12_MPEPET2N12;2000-08-01T00:00:00-03:00;1;8;2000;38,85
2000-09-01;FUNCEX12_MPEPET2N12;2000-09-01T00:00:00-03:00;1;9;2000;38,6
2000-10-01;FUNCEX12_MPEPET2N12;2000-10-01T00:00:00-03:00;1;10;2000;41,11
2000-11-01;FUNCEX12_MPEPET2N12;2000-11-01T00:00:00-03:00;1;11;2000;40,3
2000-12-01;FUNCEX12_MPEPET2N12;2000-12-01T00:00:00-02:00;1;12;2000;39,38
2001-01-01;FUNCEX12_MPEPET2N12;2001-01-01T00:00:00-02:00;1;1;2001;35,32
2001-02-01;FUNCEX12_MPEPET2N12;2001-02-01T00:00:00-02:00;1;2;2001;35,06
2001-03-01;FUNCEX12_MPEPET2N12;2001-03-01T00:00:00-03:00;1;3;2001;35,53
2001-04-01;FUNCEX12_MPEPET2N12;2001-04-01T00:00:00-03:00;1;4;2001;31,61
2001-05-01;FUNCEX12_MPEPET2N12;2001-05-01T00:00:00-03:00;1;5;2001;34,8
2001-06-01;FUNCEX12_MPEPET2N12;2001-06-01T00:00:00-03:00;1;6;2001;35,93
2001-07-01;FUNCEX12_MPEPET2N12;2001-07-01T00:00:00-03:00;1;7;2001;37,56
2001-08-01;FUNCEX12_MPEPET2N12;2001-08-01T00:00:00-03:00;1;8;2001;34,75
2001-09-01;FUNCEX12_MPEPET2N12;2001-09-01T00:00:00-03:00;1;9;2001;33,47
2001-10-01;FUNCEX12_MPEPET2N12;2001-10-01T00:00:00-03:00;1;10;2001;35,74
2001-11-01;FUNCEX12_MPEPET2N12;2001-11-01T00:00:00-03:00;1;11;2001;28,81
2001-12-01;FUNCEX12_MPEPET2N12;2001-12-01T00:00:00-02:00;1;12;2001;26,57
2002-01-01;FUNCEX12_MPEPET2N12;2002-01-01T00:00:00-02:00;1;1;2002;23,44
2002-02-01;FUNCEX12_MPEPET2N12;2002-02-01T00:00:00-02:00;1;2;2002;25,41
2002-03-01;FUNCEX12_MPEPET2N12;2002-03-01T00:00:00-03:00;1;3;2002;26,69
2002-04-01;FUNCEX12_MPEPET2N12;2002-04-01T00:00:00-03:00;1;4;2002;32,0
2002-05-01;FUNCEX12_MPEPET2N12;2002-05-01T00:00:00-03:00;1;5;2002;35,1
2002-06-01;FUNCEX12_MPEPET2N12;2002-06-01T00:00:00-03:00;1;6;2002;34,22
2002-07-01;FUNCEX12_MPEPET2N12;2002-07-01T00:00:00-03:00;1;7;2002;33,43
2002-08-01;FUNCEX12_MPEPET2N12;2002-08-01T00:00:00-03:00;1;8;2002;37,37
2002-09-01;FUNCEX12_MPEPET2N12;2002-09-01T00:00:00-03:00;1;9;2002;35,29
2002-10-01;FUNCEX12_MPEPET2N12;2002-10-01T00:00:00-03:00;1;10;2002;37,99
2002-11-01;FUNCEX12_MPEPET2N12;2002-11-01T00:00:00-03:00;1;11;2002;38,47
2002-12-01;FUNCEX12_MPEPET2N12;2002-12-01T00:00:00-02:00;1;12;2002;34,59
2003-01-01;FUNCEX12_MPEPET2N12;2003-01-01T00:00:00-02:00;1;1;2003;39,57
2003-02-01;FUNCEX12_MPEPET2N12;2003-02-01T00:00:00-02:00;1;2;2003;44,33
2003-03-01;FUNCEX12_MPEPET2N12;2003-03-01T00:00:00-03:00;1;3;2003;45,71
2003-04-01;FUNCEX12_MPEPET2N12;2003-04-01T00:00:00-03:00;1;4;2003;41,32
2003-05-01;FUNCEX12_MPEPET2N12;2003-05-01T00:00:00-03:00;1;5;2003;36,86
2003-06-01;FUNCEX12_MPEPET2N12;2003-06-01T00:00:00-03:00;1;6;2003;34,56
2003-07-01;FUNCEX12_MPEPET2N12;2003-07-01T00:00:00-03:00;1;7;2003;39,18
2003-08-01;FUNCEX12_MPEPET2N12;2003-08-01T00:00:00-03:00;1;8;2003;40,39
2003-09-01;FUNCEX12_MPEPET2N12;2003-09-01T00:00:00-03:00;1;9;2003;40,09
2003-10-01;FUNCEX12_MPEPET2N12;2003-10-01T00:00:00-03:00;1;10;2003;39,47
2003-11-01;FUNCEX12_MPEPET2N12;2003-11-01T00:00:00-03:00;1;11;2003;39,73
2003-12-01;FUNCEX12_MPEPET2N12;2003-12-01T00:00:00-02:00;1;12;2003;41,95
2004-01-01;FUNCEX12_MPEPET2N12;2004-01-01T00:00:00-02:00;1;1;2004;42,09
2004-02-01;FUNCEX12_MPEPET2N12;2004-02-01T00:00:00-02:00;1;2;2004;43,36
2004-03-01;FUNCEX12_MPEPET2N12;2004-03-01T00:00:00-03:00;1;3;2004;45,44
2004-04-01;FUNCEX12_MPEPET2N12;2004-04-01T00:00:00-03:00;1;4;2004;46,87
2004-05-01;FUNCEX12_MPEPET2N12;2004-05-01T00:00:00-03:00;1;5;2004;47,25
2004-06-01;FUNCEX12_MPEPET2N12;2004-06-01T00:00:00-03:00;1;6;2004;52,46
2004-07-01;FUNCEX12_MPEPET2N12;2004-07-01T00:00:00-03:00;1;7;2004;50,71
2004-08-01;FUNCEX12_MPEPET2N12;2004-08-01T00:00:00-03:00;1;8;2004;54,06
2004-09-01;FUNCEX12_MPEPET2N12;2004-09-01T00:00:00-03:00;1;9;2004;54,6
2004-10-01;FUNCEX12_MPEPET2N12;2004-10-01T00:00:00-03:00;1;10;2004;60,08
2004-11-01;FUNCEX12_MPEPET2N12;2004-11-01T00:00:00-03:00;1;11;2004;60,67
2004-12-01;FUNCEX12_MPEPET2N12;2004-12-01T00:00:00-02:00;1;12;2004;59,97
2005-01-01;FUNCEX12_MPEPET2N12;2005-01-01T00:00:00-02:00;1;1;2005;53,35
2005-02-01;FUNCEX12_MPEPET2N12;2005-02-01T00:00:00-02:00;1;2;2005;56,39
2005-03-01;FUNCEX12_MPEPET2N12;2005-03-01T00:00:00-03:00;1;3;2005;61,67
2005-04-01;FUNCEX12_MPEPET2N12;2005-04-01T00:00:00-03:00;1;4;2005;64,18
2005-05-01;FUNCEX12_MPEPET2N12;2005-05-01T00:00:00-03:00;1;5;2005;67,71
2005-06-01;FUNCEX12_MPEPET2N12;2005-06-01T00:00:00-03:00;1;6;2005;67,35
2005-07-01;FUNCEX12_MPEPET2N12;2005-07-01T00:00:00-03:00;1;7;2005;69,77
2005-08-01;FUNCEX12_MPEPET2N12;2005-08-01T00:00:00-03:00;1;8;2005;78,91
2005-09-01;FUNCEX12_MPEPET2N12;2005-09-01T00:00:00-03:00;1;9;2005;83,16
