DATE;CODE;RAW DATE;DAY;MONTH;YEAR;VALUE (R$ ou u.m.c.)
1985-01-02;GM366_ERC366;1985-01-02T00:00:00-02:00;2;1;1985;1,152e-09
1985-01-03;GM366_ERC366;1985-01-03T00:00:00-02:00;3;1;1985;1,152e-09
1985-01-04;GM366_ERC366;1985-01-04T00:00:00-02:00;4;1;1985;1,152e-09
1985-01-05;GM366_ERC366;1985-01-05T00:00:00-02:00;5;1;1985;
1985-01-06;GM366_ERC366;1985-01-06T00:00:00-02:00;6;1;1985;
1985-01-07;GM366_ERC366;1985-01-07T00:00:00-02:00;7;1;1985;1,17381818181818e-09
1985-01-08;GM366_ERC366;1985-01-08T00:00:00-02:00;8;1;1985;1,17381818181818e-09
1985-01-09;GM366_ERC366;1985-01-09T00:00:00-02:00;9;1;1985;1,17381818181818e-09
1985-01-10;GM366_ERC366;1985-01-10T00:00:00-02:00;10;1;1985;1,17381818181818e-09
1985-01-11;GM366_ERC366;1985-01-11T00:00:00-02:00;11;1;1985;1,20036363636364e-09
1985-01-12;GM366_ERC366;1985-01-12T00:00:00-02:00;12;1;1985;
1985-01-13;GM366_ERC366;1985-01-13T00:00:00-02:00;13;1;1985;
1985-01-14;GM366_ERC366;1985-01-14T00:00:00-02:00;14;1;1985;1,20036363636364e-09
1985-01-15;GM366_ERC366;1985-01-15T00:00:00-02:00;15;1;1985;1,20036363636364e-09
1985-01-16;GM366_ERC366;1985-01-16T00:00:00-02:00;16;1;1985;1,22763636363636e-09
1985-01-17;GM366_ERC366;1985-01-17T00:00:00-02:00;17;1;1985;1,22763636363636e-09
1985-01-18;GM366_ERC366;1985-01-18T00:00:00-02:00;18;1;1985;1,22763636363636e-09
1985-01-19;GM366_ERC366;1985-01-19T00:00:00-02:00;19;1;1985;
1985-01-20;GM366_ERC366;1985-01-20T00:00:00-02:00;20;1;1985;
1985-01-21;GM366_ERC366;1985-01-21T00:00:00-02:00;21;1;1985;1,22763636363636e-09
1985-01-22;GM366_ERC366;1985-01-22T00:00:00-02:00;22;1;1985;1,25127272727273e-09
1985-01-23;GM366_ERC366;1985-01-23T00:00:00-02:00;23;1;1985;1,25127272727273e-09
1985-01-24;GM366_ERC366;1985-01-24T00:00:00-02:00;24;1;1985;1,25127272727273e-09
1985-01-25;GM366_ERC366;1985-01-25T00:00:00-02:00;25;1;1985;1,25127272727273e-09
1985-01-26;GM366_ERC366;1985-01-26T00:00:00-02:00;26;1;1985;
1985-01-27;GM366_ERC366;1985-01-27T00:00:00-02:00;27;1;1985;
1985-01-28;GM366_ERC366;1985-01-28T00:00:00-02:00;28;1;1985;1,27054545454545e-09
1985-01-29;GM366_ERC366;1985-01-29T00:00:00-02:00;29;1;1985;1,27054545454545e-09
1985-01-30;GM366_ERC366;1985-01-30T00:00:00-02:00;30;1;1985;1,27054545454545e-09
1985-01-31;GM366_ERC366;1985-01-31T00:00:00-02:00;31;1;1985;1,29709090909091e-09
1985-02-01;GM366_ERC366;1985-02-01T00:00:00-02:00;1;2;1985;1,29709090909091e-09
1985-02-02;GM366_ERC366;1985-02-02T00:00:00-02:00;2;2;1985;
1985-02-03;GM366_ERC366;1985-02-03T00:00:00-02:00;3;2;1985;
1985-02-04;GM366_ERC366;1985-02-04T00:00:00-02:00;4;2;1985;1,29709090909091e-09
1985-02-05;GM366_ERC366;1985-02-05T00:00:00-02:00;5;2;1985;1,29709090909091e-09
1985-02-06;GM366_ERC366;1985-02-06T00:00:00-02:00;6;2;1985;1,29709090909091e-09
1985-02-07;GM366_ERC366;1985-02-07T00:00:00-02:00;7;2;1985;1,32290909090909e-09
1985-02-08;GM366_ERC366;1985-02-08T00:00:00-02:00;8;2;1985;1,32290909090909e-09
1985-02-09;GM366_ERC366;1985-02-09T00:00:00-02:00;9;2;1985;
1985-02-10;GM366_ERC366;1985-02-10T00:00:00-03:00;10;2;1985;
1985-02-11;GM366_ERC366;1985-02-11T00:00:00-03:00;11;2;1985;1,34909090909091e-09
1985-02-12;GM366_ERC366;1985-02-12T00:00:00-03:00;12;2;1985;1,34909090909091e-09
1985-02-13;GM366_ERC366;1985-02-13T00:00:00-03:00;13;2;1985;1,34909090909091e-09
1985-02-14;GM366_ERC366;1985-02-14T00:00:00-03:00;14;2;1985;1,37563636363636e-09
1985-02-15;GM366_ERC366;1985-02-15T00:00:00-03:00;15;2;1985;1,37563636363636e-09
