id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
N;NORTE;2007-01-01;4396.00000000;53.65999985;4396.00000000;53.65999985
NE;NORDESTE;2007-01-01;15241.00000000;110.34999847;15241.00000000;110.34999847
S;SUL;2007-01-01;5304.00000000;88.90000153;5298.00000000;88.80000305
SE;SUDESTE;2007-01-01;60591.00000000;113.94000244;53916.00000000;101.38999939
N;NORTE;2007-01-02;4254.00000000;51.93000031;4254.00000000;51.93000031
NE;NORDESTE;2007-01-02;15569.00000000;112.73000336;15569.00000000;112.73000336
S;SUL;2007-01-02;4995.00000000;83.72000122;4989.00000000;83.62000275
SE;SUDESTE;2007-01-02;63626.00000000;119.65000153;60060.00000000;112.94000244
N;NORTE;2007-01-03;4173.00000000;50.93999863;4173.00000000;50.93999863
NE;NORDESTE;2007-01-03;16651.00000000;120.55999756;16651.00000000;120.55999756
S;SUL;2007-01-03;5384.00000000;90.23999786;5377.00000000;90.12000275
SE;SUDESTE;2007-01-03;67542.00000000;127.01000214;64509.00000000;121.30999756
N;NORTE;2007-01-04;4148.00000000;50.63999939;4148.00000000;50.63999939
NE;NORDESTE;2007-01-04;16555.00000000;119.87000275;16555.00000000;119.87000275
S;SUL;2007-01-04;6156.00000000;103.18000031;6149.00000000;103.05999756
SE;SUDESTE;2007-01-04;71993.00000000;135.38000488;67933.00000000;127.75000000
N;NORTE;2007-01-05;4242.00000000;51.77999878;4242.00000000;51.77999878
NE;NORDESTE;2007-01-05;16481.00000000;119.33000183;16481.00000000;119.33000183
S;SUL;2007-01-05;6949.00000000;116.47000122;6941.00000000;116.33999634
SE;SUDESTE;2007-01-05;77341.00000000;145.44000244;71856.00000000;135.13000488
N;NORTE;2007-01-06;4301.00000000;52.50000000;4301.00000000;52.50000000
NE;NORDESTE;2007-01-06;16371.00000000;118.52999878;16371.00000000;118.52999878
S;SUL;2007-01-06;7064.00000000;118.40000153;7054.00000000;118.23000336
SE;SUDESTE;2007-01-06;82389.00000000;154.92999268;77061.00000000;144.91999817
N;NORTE;2007-01-07;4476.00000000;54.63999939;4476.00000000;54.63999939
NE;NORDESTE;2007-01-07;16371.00000000;118.52999878;16371.00000000;118.52999878
S;SUL;2007-01-07;6809.00000000;114.12999725;6802.00000000;114.01000214
SE;SUDESTE;2007-01-07;87972.00000000;165.42999268;81257.00000000;152.80999756
N;NORTE;2007-01-08;4575.00000000;55.84999847;4575.00000000;55.84999847
NE;NORDESTE;2007-01-08;16318.00000000;118.15000153;16318.00000000;118.15000153
S;SUL;2007-01-08;6615.00000000;110.87000275;6606.00000000;110.72000122
SE;SUDESTE;2007-01-08;90654.00000000;170.47999573;83720.00000000;157.44000244
N;NORTE;2007-01-09;4596.00000000;56.11000061;4596.00000000;56.11000061
NE;NORDESTE;2007-01-09;16346.00000000;118.34999847;16346.00000000;118.34999847
S;SUL;2007-01-09;6357.00000000;106.55000305;6351.00000000;106.44999695
SE;SUDESTE;2007-01-09;91889.00000000;172.80000305;82446.00000000;155.03999329
N;NORTE;2007-01-10;4765.00000000;58.16999817;4765.00000000;58.16999817
NE;NORDESTE;2007-01-10;16305.00000000;118.05999756;16305.00000000;118.05999756
S;SUL;2007-01-10;6287.00000000;105.37999725;6280.00000000;105.26000214
SE;SUDESTE;2007-01-10;92364.00000000;173.69000244;80480.00000000;151.35000610
N;NORTE;2007-01-11;4949.00000000;60.41999817;4949.00000000;60.41999817
NE;NORDESTE;2007-01-11;16342.00000000;118.31999969;16342.00000000;118.31999969
S;SUL;2007-01-11;6548.00000000;109.75000000;6539.00000000;109.59999847
SE;SUDESTE;2007-01-11;93924.00000000;176.63000488;81917.00000000;154.05000305
N;NORTE;2007-01-12;5058.00000000;61.75000000;5058.00000000;61.75000000
NE;NORDESTE;2007-01-12;16392.00000000;118.69000244;16392.00000000;118.69000244
S;SUL;2007-01-12;6856.00000000;114.91000366;6847.00000000;114.76000214
SE;SUDESTE;2007-01-12;94767.00000000;178.21000671;82360.00000000;154.88000488
N;NORTE;2007-01-13;5147.00000000;62.83000183;5147.00000000;62.83000183
NE;NORDESTE;2007-01-13;16364.00000000;118.48000336;16364.00000000;118.48000336
S;SUL;2007-01-13;6940.00000000;116.31999969;6931.00000000;116.16999817
SE;SUDESTE;2007-01-13;97231.00000000;182.85000610;82825.00000000;155.75000000
N;NORTE;2007-01-14;5465.00000000;66.70999908;5465.00000000;66.70999908
NE;NORDESTE;2007-01-14;16560.00000000;119.90000153;16560.00000000;119.90000153
S;SUL;2007-01-14;6411.00000000;107.45999908;6404.00000000;107.33999634
SE;SUDESTE;2007-01-14;99061.00000000;186.28999329;82309.00000000;154.77999878
N;NORTE;2007-01-15;5576.00000000;68.06999969;5576.00000000;68.06999969
NE;NORDESTE;2007-01-15;16751.00000000;121.27999878;16751.00000000;121.27999878
S;SUL;2007-01-15;5609.00000000;94.01000214;5602.00000000;93.90000153
SE;SUDESTE;2007-01-15;99122.00000000;186.39999390;82817.00000000;155.74000549
N;NORTE;2007-01-16;5691.00000000;69.47000122;5691.00000000;69.47000122
NE;NORDESTE;2007-01-16;16942.00000000;122.66999817;16942.00000000;122.66999817
S;SUL;2007-01-16;4949.00000000;82.94999695;4942.00000000;82.83000183
SE;SUDESTE;2007-01-16;100939.00000000;189.82000732;82021.00000000;154.24000549
N;NORTE;2007-01-17;5880.00000000;71.77999878;5880.00000000;71.77999878
NE;NORDESTE;2007-01-17;17046.00000000;123.41999817;17046.00000000;123.41999817
S;SUL;2007-01-17;4523.00000000;75.80999756;4515.00000000;75.68000031
SE;SUDESTE;2007-01-17;101535.00000000;190.94000244;82347.00000000;154.86000061
N;NORTE;2007-01-18;6067.00000000;74.05999756;6067.00000000;74.05999756
NE;NORDESTE;2007-01-18;17093.00000000;123.76000214;17093.00000000;123.76000214
S;SUL;2007-01-18;4322.00000000;72.44000244;4315.00000000;72.31999969
SE;SUDESTE;2007-01-18;101188.00000000;190.28999329;82736.00000000;155.58999634
N;NORTE;2007-01-19;5868.00000000;71.62999725;5868.00000000;71.62999725
NE;NORDESTE;2007-01-19;17093.00000000;123.76000214;17093.00000000;123.76000214
S;SUL;2007-01-19;4422.00000000;74.12000275;4413.00000000;73.97000122
SE;SUDESTE;2007-01-19;100065.00000000;188.17999268;81088.00000000;152.49000549
N;NORTE;2007-01-20;5712.00000000;69.73000336;5712.00000000;69.73000336
NE;NORDESTE;2007-01-20;17046.00000000;123.41999817;17046.00000000;123.41999817
S;SUL;2007-01-20;5944.00000000;99.62999725;5936.00000000;99.48999786
SE;SUDESTE;2007-01-20;99663.00000000;187.41999817;78228.00000000;147.11000061
N;NORTE;2007-01-21;5586.00000000;68.19000244;5586.00000000;68.19000244
NE;NORDESTE;2007-01-21;17096.00000000;123.77999878;17096.00000000;123.77999878
S;SUL;2007-01-21;6276.00000000;105.19000244;6269.00000000;105.08000183
SE;SUDESTE;2007-01-21;99249.00000000;186.63999939;74542.00000000;140.17999268
N;NORTE;2007-01-22;5560.00000000;67.87000275;5560.00000000;67.87000275
NE;NORDESTE;2007-01-22;17189.00000000;124.45999908;17189.00000000;124.45999908
S;SUL;2007-01-22;5817.00000000;97.50000000;5810.00000000;97.37999725
SE;SUDESTE;2007-01-22;98506.00000000;185.24000549;75441.00000000;141.86999512
N;NORTE;2007-01-23;5452.00000000;66.55999756;5452.00000000;66.55999756
NE;NORDESTE;2007-01-23;17259.00000000;124.95999908;17259.00000000;124.95999908
S;SUL;2007-01-23;5124.00000000;85.87999725;5117.00000000;85.76999664
SE;SUDESTE;2007-01-23;97342.00000000;183.05000305;74776.00000000;140.61999512
N;NORTE;2007-01-24;5386.00000000;65.75000000;5386.00000000;65.75000000
NE;NORDESTE;2007-01-24;17347.00000000;125.59999847;17347.00000000;125.59999847
S;SUL;2007-01-24;4519.00000000;75.73999786;4512.00000000;75.62999725
SE;SUDESTE;2007-01-24;96445.00000000;181.36999512;75049.00000000;141.13000488
N;NORTE;2007-01-25;5374.00000000;65.59999847;5374.00000000;65.59999847
NE;NORDESTE;2007-01-25;17433.00000000;126.22000122;17433.00000000;126.22000122
S;SUL;2007-01-25;4246.00000000;71.16999817;4238.00000000;71.02999878
SE;SUDESTE;2007-01-25;95787.00000000;180.13000488;74218.00000000;139.57000732
N;NORTE;2007-01-26;5473.00000000;66.80999756;5473.00000000;66.80999756
NE;NORDESTE;2007-01-26;17523.00000000;126.87000275;17523.00000000;126.87000275
S;SUL;2007-01-26;4161.00000000;69.73999786;4154.00000000;69.62999725
SE;SUDESTE;2007-01-26;95081.00000000;178.80000305;72040.00000000;135.47000122
N;NORTE;2007-01-27;5565.00000000;67.93000031;5565.00000000;67.93000031
NE;NORDESTE;2007-01-27;17602.00000000;127.44999695;17010.00000000;123.16000366
S;SUL;2007-01-27;4287.00000000;71.86000061;4279.00000000;71.72000122
SE;SUDESTE;2007-01-27;95058.00000000;178.75999451;68555.00000000;128.91999817
N;NORTE;2007-01-28;5571.00000000;68.01000214;5571.00000000;68.01000214
NE;NORDESTE;2007-01-28;17898.00000000;129.58999634;16778.00000000;121.48000336
S;SUL;2007-01-28;4539.00000000;76.08000183;4532.00000000;75.95999908
SE;SUDESTE;2007-01-28;96409.00000000;181.30000305;67569.00000000;127.06999969
N;NORTE;2007-01-29;5500.00000000;67.13999939;5500.00000000;67.13999939
NE;NORDESTE;2007-01-29;17899.00000000;129.60000610;17182.00000000;124.41000366
S;SUL;2007-01-29;5527.00000000;92.63999939;5519.00000000;92.50000000
SE;SUDESTE;2007-01-29;98898.00000000;185.97999573;73225.00000000;137.69999695
N;NORTE;2007-01-30;5530.00000000;67.51000214;5530.00000000;67.51000214
NE;NORDESTE;2007-01-30;18104.00000000;131.08000183;17424.00000000;126.16000366
S;SUL;2007-01-30;5755.00000000;96.45999908;5744.00000000;96.27999878
SE;SUDESTE;2007-01-30;100417.00000000;188.83999634;72718.00000000;136.75000000
N;NORTE;2007-01-31;5914.00000000;72.19999695;5914.00000000;72.19999695
NE;NORDESTE;2007-01-31;18175.00000000;131.60000610;16583.00000000;120.06999969
S;SUL;2007-01-31;5650.00000000;94.69999695;5643.00000000;94.58000183
SE;SUDESTE;2007-01-31;100687.00000000;189.33999634;72851.00000000;137.00000000
N;NORTE;2007-02-01;6305.00000000;56.49000168;6305.00000000;56.49000168
NE;NORDESTE;2007-02-01;18303.00000000;126.05999756;16418.00000000;113.08000183
S;SUL;2007-02-01;5388.00000000;81.62999725;5360.00000000;81.19999695
SE;SUDESTE;2007-02-01;99908.00000000;180.46000671;71053.00000000;128.33999634
N;NORTE;2007-02-02;6693.00000000;59.95999908;6693.00000000;59.95999908
NE;NORDESTE;2007-02-02;18441.00000000;127.01000214;16402.00000000;112.97000122
S;SUL;2007-02-02;5035.00000000;76.27999878;5029.00000000;76.19000244
SE;SUDESTE;2007-02-02;99268.00000000;179.30999756;70077.00000000;126.58000183
N;NORTE;2007-02-03;7131.00000000;63.88999939;7131.00000000;63.88999939
NE;NORDESTE;2007-02-03;18769.00000000;129.27000427;15201.00000000;104.69999695
S;SUL;2007-02-03;4705.00000000;71.27999878;4698.00000000;71.18000031
SE;SUDESTE;2007-02-03;99587.00000000;179.88000488;69131.00000000;124.87000275
N;NORTE;2007-02-04;7646.00000000;68.50000000;7646.00000000;68.50000000
NE;NORDESTE;2007-02-04;18861.00000000;129.89999390;14687.00000000;101.15000153
S;SUL;2007-02-04;4559.00000000;69.06999969;4551.00000000;68.94999695
