"Date","Price","Open","High","Low","Vol.","Change %"
"08/10/2025","2.959","2.894","3.000","2.765","619.66K","-1.04%"
"08/03/2025","2.990","3.065","3.148","2.895","606.93K","-3.02%"
"07/27/2025","3.083","3.093","3.186","2.972","469.25K","-0.87%"
"07/20/2025","3.110","3.464","3.475","3.061","574.50K","-12.76%"
"07/13/2025","3.565","3.404","3.629","3.383","630.98K","7.57%"
"07/06/2025","3.314","3.344","3.472","3.149","804.17K","-3.41%"
"06/29/2025","3.431","3.754","3.754","3.327","338.74K","-8.24%"
"06/22/2025","3.739","3.949","3.949","3.199","406.77K","-2.81%"
"06/15/2025","3.847","3.704","4.148","3.634","701.32K","7.43%"
"06/08/2025","3.581","3.719","3.769","3.453","960.88K","-5.36%"
"06/01/2025","3.784","3.501","3.817","3.501","854.88K","7.41%"
"05/25/2025","3.523","3.775","3.832","3.518","473.64K","5.67%"
"05/18/2025","3.334","3.269","3.513","3.098","701.99K","0.00%"
"05/11/2025","3.334","3.775","3.840","3.305","707.68K","-12.15%"
"05/04/2025","3.795","3.671","3.815","3.423","858.26K","-3.92%"
"04/27/2025","3.950","3.163","3.993","3.054","602.89K","34.49%"
"04/20/2025","2.937","3.198","3.225","2.858","521.03K","-9.49%"
"04/13/2025","3.245","3.500","3.613","3.191","599.83K","-8.00%"
"04/06/2025","3.527","3.811","3.939","3.336","1.38M","-10.60%"
"03/30/2025","3.945","4.289","4.358","3.926","342.55K","-2.95%"
"03/23/2025","4.065","3.880","4.100","3.689","363.48K","2.14%"
"03/16/2025","3.980","4.124","4.259","3.864","785.59K","-3.02%"
"03/09/2025","4.104","4.467","4.901","3.955","1.01M","-7.86%"
"03/02/2025","4.454","3.825","4.588","3.810","713.80K","16.17%"
"02/23/2025","3.834","4.065","4.212","3.814","490.03K","-9.45%"
"02/16/2025","4.234","3.614","4.476","3.554","1.02M","13.66%"
"02/09/2025","3.725","3.406","3.801","3.352","1.12M","12.57%"
"02/02/2025","3.309","3.230","3.435","3.161","992.67K","8.71%"
"01/26/2025","3.044","3.785","3.827","2.990","474.01K","-24.41%"
"01/19/2025","4.027","3.815","4.050","3.711","547.10K","2.00%"
"01/12/2025","3.948","4.347","4.369","3.736","929.56K","-1.03%"
"01/05/2025","3.989","3.554","4.018","3.427","973.85K","18.93%"
"12/29/2024","3.354","3.657","4.201","3.330","903.64K","-4.55%"
"12/22/2024","3.514","3.869","4.010","3.370","262.20K","-6.24%"
"12/15/2024","3.748","3.210","3.828","3.091","1.01M","14.27%"
"12/08/2024","3.280","3.260","3.559","3.069","1.31M","11.91%"
"12/01/2024","2.931","3.085","3.131","2.864","348.02K","-12.85%"
"11/24/2024","3.363","3.356","3.500","3.175","489.07K","7.48%"
"11/17/2024","3.129","2.925","3.563","2.832","913.93K","10.84%"
"11/10/2024","2.823","2.770","3.020","2.688","1.11M","5.77%"
"11/03/2024","2.669","2.560","2.818","2.514","835.95K","0.23%"
"10/27/2024","2.663","2.505","2.919","2.200","606.79K","4.02%"
"10/20/2024","2.560","2.220","2.582","2.210","705.20K","13.37%"
"10/13/2024","2.258","2.624","2.625","2.248","769.62K","-14.21%"
"10/06/2024","2.632","2.827","2.839","2.588","909.42K","-7.78%"
"09/29/2024","2.854","2.899","3.019","2.825","787.46K","-1.65%"
"09/22/2024","2.902","2.462","2.932","2.458","506.64K","19.23%"
"09/15/2024","2.434","2.298","2.460","2.223","825.50K","5.60%"
"09/08/2024","2.305","2.220","2.407","2.125","978.92K","-11.24%"
"09/01/2024","2.597","2.512","2.615","2.439","295.08K","22.10%"
"08/25/2024","2.127","2.004","2.171","1.856","407.97K","5.19%"
"08/18/2024","2.022","2.125","2.278","2.005","649.95K","-4.76%"
"08/11/2024","2.123","2.173","2.301","2.111","879.52K","-0.93%"
"08/04/2024","2.143","1.950","2.187","1.882","947.48K","8.95%"
"07/28/2024","1.967","2.016","2.149","1.856","709.02K","-1.94%"
"07/21/2024","2.006","2.104","2.270","1.994","429.46K","-5.73%"
"07/14/2024","2.128","2.273","2.285","2.015","794.39K","-8.63%"
"07/07/2024","2.329","2.270","2.448","2.249","715.94K","-0.89%"
"06/30/2024","2.350","2.581","2.599","2.347","372.57K","-9.65%"
"06/23/2024","2.601","2.670","2.844","2.594","416.53K","-3.84%"
"06/16/2024","2.705","2.846","2.948","2.672","565.71K","-6.11%"
"06/09/2024","2.881","2.980","3.159","2.862","1.09M","-1.27%"
"06/02/2024","2.918","2.645","2.967","2.573","1.06M","12.79%"
"05/26/2024","2.587","2.503","2.682","2.417","387.87K","2.66%"
"05/19/2024","2.520","2.659","2.924","2.493","738.74K","-4.04%"
"05/12/2024","2.626","2.250","2.654","2.214","908.42K","16.61%"
"05/05/2024","2.252","2.170","2.344","2.133","846.39K","5.14%"
"04/28/2024","2.142","1.923","2.160","1.913","808.34K","32.71%"
"04/21/2024","1.614","1.765","1.848","1.482","317.15K","-7.88%"
"04/14/2024","1.752","1.772","1.806","1.649","869.31K","-1.02%"
"04/07/2024","1.770","1.770","1.943","1.731","999.32K","-11.94%"
"03/31/2024","2.010","1.999","2.136","1.958","360.18K","14.01%"
"03/24/2024","1.763","1.664","1.789","1.481","388.78K","6.27%"
"03/17/2024","1.659","1.689","1.769","1.647","502.70K","0.24%"
"03/10/2024","1.655","1.805","1.841","1.643","859.05K","-8.31%"
"03/03/2024","1.805","1.873","2.009","1.755","752.20K","-1.63%"
"02/25/2024","1.835","1.660","1.918","1.511","510.75K","14.47%"
"02/18/2024","1.603","1.533","1.792","1.522","507.52K","-0.37%"
"02/11/2024","1.609","1.805","1.863","1.573","1.09M","-12.89%"
"02/04/2024","1.847","2.110","2.127","1.817","962.26K","-11.16%"
"01/28/2024","2.079","2.680","2.760","2.021","447.53K","-23.34%"
"01/21/2024","2.712","2.380","2.884","2.311","301.22K","7.66%"
"01/14/2024","2.519","3.113","3.189","2.514","530.31K","-23.97%"
"01/07/2024","3.313","2.950","3.392","2.694","1.08M","14.52%"
"12/31/2023","2.893","2.605","2.906","2.524","505.24K","15.08%"
"12/24/2023","2.514","2.545","2.722","2.412","170.75K","-3.68%"
"12/17/2023","2.610","2.503","2.620","2.385","534.54K","4.78%"
"12/10/2023","2.491","2.490","2.544","2.235","968.43K","-3.49%"
"12/03/2023","2.581","2.728","2.786","2.489","748.53K","-8.28%"
"11/26/2023","2.814","2.778","2.870","2.669","360.52K","-1.44%"
"11/19/2023","2.855","2.957","2.958","2.798","310.72K","-3.55%"
"11/12/2023","2.960","3.064","3.275","2.893","805.56K","-2.41%"
"11/05/2023","3.033","3.373","3.407","2.989","687.25K","-13.71%"
"10/29/2023","3.515","3.400","3.630","3.318","627.63K","11.09%"
"10/22/2023","3.164","2.905","3.401","2.861","284.63K","9.14%"
"10/15/2023","2.899","3.185","3.185","2.880","560.11K","-10.41%"
"10/08/2023","3.236","3.350","3.471","3.203","750.13K","-3.06%"
"10/01/2023","3.338","2.958","3.364","2.820","628.89K","13.96%"
"09/24/2023","2.929","2.657","2.997","2.552","218.82K","11.07%"
"09/17/2023","2.637","2.624","2.872","2.595","533.39K","-0.26%"
"09/10/2023","2.644","2.610","2.823","2.541","658.86K","1.50%"
"09/03/2023","2.605","2.700","2.708","2.500","435.33K","-5.79%"
"08/27/2023","2.765","2.635","2.865","2.515","383.46K","8.86%"
"08/20/2023","2.540","2.560","2.660","2.425","384.52K","-0.43%"
"08/13/2023","2.551","2.776","2.863","2.524","514.45K","-7.91%"
"08/06/2023","2.770","2.579","3.018","2.571","958.47K","7.49%"
"07/30/2023","2.577","2.659","2.693","2.457","520.16K","-2.31%"
"07/23/2023","2.638","2.721","2.767","2.463","129.44K","-2.76%"
"07/16/2023","2.713","2.548","2.789","2.484","607.85K","6.85%"
"07/09/2023","2.539","2.570","2.750","2.492","552.73K","-1.67%"
"07/02/2023","2.582","2.729","2.793","2.536","313.83K","-7.72%"
"06/25/2023","2.798","2.758","2.839","2.593","222.68K","2.53%"
"06/18/2023","2.729","2.629","2.740","2.448","432.79K","3.69%"
