seed,todos_ok,n_ok,se_puro_ok,se_m4_ok,s_puro_ok,s_m4_ok,ll_se_puro,ll_se_m4,ll_s_puro,ll_s_m4,ab_se_puro,ab_se_m4,ab_s_puro,ab_s_m4
42,FALSE,2,TRUE,TRUE,FALSE,FALSE,1767.6458623455278,1767.6458623455278,1244.7357411288813,1244.7357411288813,0.9897209361033849,0.9897209361033849,0.9848942425748052,0.9848942425748052
123,FALSE,2,TRUE,TRUE,FALSE,FALSE,1588.0276081864272,1588.0276081864272,1303.5541466160848,1303.5541466160848,0.991560137342221,0.991560137342221,0.979536329376739,0.979536329376739
1709,FALSE,0,FALSE,FALSE,FALSE,FALSE,1620.697182495411,1620.697182495411,1222.3376197618256,1222.3376197618256,0.9867377709457992,0.9867377709457992,0.9897249521387037,0.9897249521387037
1999,FALSE,0,FALSE,FALSE,FALSE,FALSE,1677.4470625518904,1677.4470625518904,1276.5012386301332,1276.5012386301332,0.9851984386009549,0.9851984386009549,0.9919876874188795,0.9919876874188795
2026,FALSE,0,FALSE,FALSE,FALSE,FALSE,1734.9196768797933,1734.9196768797933,1256.6305762543554,1256.6305762543554,0.9862256166630208,0.9862256166630208,0.9821243971726896,0.9821243971726896
2683,FALSE,0,FALSE,FALSE,FALSE,FALSE,1642.011043879065,1642.011043879065,1258.729670068873,1258.729670068873,0.9898163479660539,0.9898163479660539,0.9815354551938804,0.9815354551938804
2963,FALSE,2,TRUE,TRUE,FALSE,FALSE,1583.9179228668686,1583.9179228668686,1241.971154316076,1241.971154316076,0.9856842333917445,0.9856842333917445,0.985417489168947,0.985417489168947
4139,FALSE,0,FALSE,FALSE,FALSE,FALSE,1585.9438492777053,1585.9438492777053,1240.9984781602616,1240.9984781602616,0.9837718345515569,0.9837718345515569,0.9862471853540067,0.9862471853540067
6389,FALSE,2,TRUE,TRUE,FALSE,FALSE,1584.4792155221498,1584.4792155221498,1227.208689365554,1227.208689365554,0.9881189387950249,0.9881189387950249,0.9861655656364855,0.9861655656364855
2147483647,FALSE,2,TRUE,TRUE,FALSE,FALSE,1561.6521350134706,1561.6521350134706,1262.7837183579168,1262.7837183579168,0.9838631866411645,0.9838631866411645,0.9854218213689564,0.9854218213689564
7079,FALSE,2,TRUE,TRUE,FALSE,FALSE,1573.1521501804189,1573.1521501804189,1251.4773489478025,1251.4773489478025,0.9859019939716863,0.9859019939716863,0.9858087169313855,0.9858087169313855
524287,FALSE,0,FALSE,FALSE,FALSE,FALSE,1593.3151662379735,1593.3151662379735,1313.2570516630278,1313.2570516630278,0.9896659970344052,0.9896659970344052,0.9848595079823321,0.9848595079823321
4280869,FALSE,0,FALSE,FALSE,FALSE,FALSE,1617.1314424375155,1617.1314424375155,1299.963911396837,1299.963911396837,0.9902153953367303,0.9902153953367303,0.9875774663892152,0.9875774663892152
2929340,FALSE,0,FALSE,FALSE,FALSE,FALSE,1594.6036680495372,1594.6036680495372,1253.0885098048523,1253.0885098048523,0.9883929330367565,0.9883929330367565,0.9919011211331444,0.9919011211331444
7097760,FALSE,0,FALSE,FALSE,FALSE,FALSE,1639.3377827790546,1639.3377827790546,1239.6598236012346,1239.6598236012346,0.9804180279527819,0.9804180279527819,0.996686574291861,0.996686574291861
6823546,FALSE,0,FALSE,FALSE,FALSE,FALSE,1674.5700648340976,1674.5700648340976,1281.710247647427,1281.710247647427,0.9869201195283536,0.9869201195283536,0.9787811728840015,0.9787811728840015
1868811,FALSE,2,TRUE,TRUE,FALSE,FALSE,1584.8959165947467,1584.8959165947467,1217.8850970461333,1217.8850970461333,0.978692268057834,0.978692268057834,0.9839943889813111,0.9839943889813111
1038237,FALSE,2,TRUE,TRUE,FALSE,FALSE,1579.99014884098,1579.99014884098,1233.6910716031393,1233.6910716031393,0.987845511322072,0.987845511322072,0.9893643124306434,0.9893643124306434
4054268,FALSE,0,FALSE,FALSE,FALSE,FALSE,1663.8819943492958,1663.8819943492958,1235.3671373709,1235.3671373709,0.982116904730198,0.982116904730198,0.9940486942807394,0.9940486942807394
9259938,FALSE,0,FALSE,FALSE,FALSE,FALSE,1604.851510282207,1604.851510282207,1252.4712580804037,1252.4712580804037,0.9844631990738311,0.9844631990738311,0.9865136456353877,0.9865136456353877
1645740,FALSE,0,FALSE,FALSE,FALSE,FALSE,1671.5534104542414,1671.5534104542414,1278.8742731610148,1278.8742731610148,0.9853050964830864,0.9853050964830864,0.9868028370107097,0.9868028370107097
3266970,FALSE,2,TRUE,TRUE,FALSE,FALSE,1562.4228472454672,1562.4228472454672,1240.1819921936467,1240.1819921936467,0.9812628187578192,0.9812628187578192,0.9864925095324468,0.9864925095324468
2050773,FALSE,2,TRUE,TRUE,FALSE,FALSE,1847.328924606465,1847.328924606465,1242.765401474727,1242.765401474727,0.9831185752784419,0.9831185752784419,0.9868136432436865,0.9868136432436865
8442059,FALSE,0,FALSE,FALSE,FALSE,FALSE,1621.6175166208086,1621.6175166208086,1259.470657741513,1259.470657741513,0.9878273884079886,0.9878273884079886,0.9858937052273393,0.9858937052273393
2229609,FALSE,2,TRUE,TRUE,FALSE,FALSE,1771.3487596312832,1771.3487596312832,1220.8671925779681,1220.8671925779681,0.9911564716027427,0.9911564716027427,0.9832551248466915,0.9832551248466915
1833264,FALSE,2,TRUE,TRUE,FALSE,FALSE,1572.3044376316052,1572.3044376316052,1317.3448523334084,1317.3448523334084,0.9814713671535938,0.9814713671535938,0.990817560643269,0.990817560643269
7596308,FALSE,0,FALSE,FALSE,FALSE,FALSE,1602.4763405898645,1602.4763405898645,1245.0921329994078,1245.0921329994078,0.9886494380051598,0.9886494380051598,0.9913107037126798,0.9913107037126798
6899580,FALSE,0,FALSE,FALSE,FALSE,FALSE,1661.2747157933193,1661.2747157933193,1285.0406469658224,1285.0406469658224,0.9910089248511391,0.9910089248511391,0.9977322420066843,0.9977322420066843
