seed,todos_ok,n_ok,se_puro_ok,se_m4_ok,s_puro_ok,s_m4_ok,ll_se_puro,ll_se_m4,ll_s_puro,ll_s_m4,ab_se_puro,ab_se_m4,ab_s_puro,ab_s_m4,ll_total,ab_max
9235111,TRUE,4,TRUE,TRUE,TRUE,TRUE,1778.1837335028945,1778.1837335028945,1518.9073678697441,1518.9073678697441,0.9798381908234366,0.9798381908234366,0.9849739839556506,0.9849739839556506,6594.182202745277,0.9849739839556506
1956510,TRUE,4,TRUE,TRUE,TRUE,TRUE,1771.1763774744857,1771.1763774744857,1453.4924365428883,1453.4924365428883,0.986143958832242,0.986143958832242,0.9850475898984618,0.9850475898984618,6449.3376280347475,0.986143958832242
9089995,TRUE,4,TRUE,TRUE,TRUE,TRUE,1752.2713143781025,1752.2713143781025,1389.3144576981356,1389.3144576981356,0.9834362996676844,0.9834362996676844,0.9982906708461597,0.9982906708461597,6283.171544152477,0.9982906708461597
7561087,TRUE,4,TRUE,TRUE,TRUE,TRUE,1757.2352159196992,1757.2352159196992,1378.4665565897617,1378.4665565897617,0.9902197257146432,0.9902197257146432,0.9913952828503475,0.9913952828503475,6271.403545018922,0.9913952828503475
2517379,TRUE,4,TRUE,TRUE,TRUE,TRUE,1579.0242893021739,1579.0242893021739,1417.2237316476242,1417.2237316476242,0.9809132358610129,0.9809132358610129,0.9889034222263107,0.9889034222263107,5992.496041899596,0.9889034222263107
4707661,TRUE,4,TRUE,TRUE,TRUE,TRUE,1573.3943383264157,1573.3943383264157,1419.062717207565,1419.062717207565,0.9870904179561302,0.9870904179561302,0.9863130390529677,0.9863130390529677,5984.914111067961,0.9870904179561302
1647151,TRUE,4,TRUE,TRUE,TRUE,TRUE,1570.8782458464855,1570.8782458464855,1412.3657807110017,1412.3657807110017,0.9874459782331263,0.9874459782331263,0.9869625789756613,0.9869625789756613,5966.488053114974,0.9874459782331263
3399002,TRUE,4,TRUE,TRUE,TRUE,TRUE,1563.7392635700328,1563.7392635700328,1419.2599652125148,1419.2599652125148,0.9866099837035509,0.9866099837035509,0.983997495244486,0.983997495244486,5965.998457565095,0.9866099837035509
278224,TRUE,4,TRUE,TRUE,TRUE,TRUE,1552.8084156014468,1552.8084156014468,1406.9438131512854,1406.9438131512854,0.9864219216543589,0.9864219216543589,0.986859893048893,0.986859893048893,5919.504457505464,0.986859893048893
3770359,TRUE,4,TRUE,TRUE,TRUE,TRUE,1556.7958938053969,1556.7958938053969,1315.4476116144012,1315.4476116144012,0.9860550491096343,0.9860550491096343,0.9882236654166219,0.9882236654166219,5744.487010839596,0.9882236654166219
